iter	Passed	Remaining
0	169	169237
1	171	85453
2	172	57358
3	173	43298
4	175	34849
5	176	29236
6	177	25209
7	178	22180
8	180	19837
9	181	17951
10	182	16408
11	183	15120
12	185	14049
13	186	13122
14	187	12315
15	188	11612
16	190	10997
17	191	10440
18	192	9941
19	193	9492
20	194	9077
21	195	8699
22	196	8353
23	197	8035
24	198	7751
25	199	7485
26	200	7235
27	201	7003
28	202	6790
29	203	6588
30	204	6400
31	205	6222
32	206	6060
33	207	5903
34	208	5755
35	209	5614
36	210	5480
37	211	5355
38	212	5241
39	213	5130
40	214	5022
41	215	4919
42	216	4821
43	217	4729
44	218	4640
45	219	4554
46	220	4476
47	222	4405
48	223	4332
49	224	4259
50	225	4188
51	226	4124
52	227	4061
53	228	3999
54	229	3939
55	230	3881
56	231	3826
57	232	3772
58	233	3719
59	234	3671
60	235	3627
61	236	3581
62	237	3535
63	238	3490
64	239	3446
65	240	3406
66	241	3366
67	242	3319
68	243	3282
69	244	3244
70	245	3208
71	246	3175
72	247	3142
73	248	3112
74	249	3081
75	250	3050
76	251	3020
77	253	2990
78	254	2962
79	255	2938
80	256	2913
81	257	2887
82	259	2861
83	260	2837
84	260	2808
85	262	2785
86	262	2759
87	264	2736
88	265	2713
89	266	2691
90	267	2669
91	268	2648
92	269	2630
93	271	2612
94	272	2593
95	273	2574
96	274	2555
97	276	2541
98	277	2524
99	278	2507
100	279	2491
101	280	2470
102	282	2459
103	284	2449
104	285	2437
105	289	2440
106	291	2433
107	293	2424
108	295	2416
109	297	2406
110	299	2395
111	300	2384
112	302	2372
113	305	2377
114	307	2364
115	308	2349
116	309	2336
117	311	2328
118	313	2318
119	314	2307
120	319	2317
121	321	2313
122	322	2302
123	324	2295
124	326	2287
125	328	2276
126	329	2266
127	331	2256
128	333	2248
129	335	2241
130	336	2233
131	337	2221
132	339	2209
133	340	2198
134	341	2187
135	342	2175
136	343	2164
137	344	2151
138	345	2142
139	347	2132
140	348	2120
141	349	2109
142	350	2098
143	351	2087
144	352	2076
145	353	2066
146	354	2056
147	355	2045
148	356	2035
149	357	2025
150	358	2015
151	359	2005
152	360	1997
153	362	1989
154	363	1980
155	364	1972
156	366	1965
157	367	1956
158	368	1947
159	369	1938
160	370	1929
161	371	1920
162	372	1911
163	373	1903
164	375	1901
165	377	1895
166	378	1887
167	381	1887
168	382	1880
169	384	1877
170	386	1872
171	387	1865
172	388	1858
173	390	1853
174	391	1846
175	392	1838
176	393	1830
177	394	1822
178	395	1815
179	397	1808
180	397	1799
181	398	1791
182	399	1783
183	400	1775
184	401	1768
185	402	1760
186	403	1753
187	404	1745
188	405	1738
189	406	1731
190	407	1724
191	408	1717
192	409	1711
193	410	1704
194	411	1697
195	412	1691
196	413	1684
197	414	1677
198	414	1670
199	415	1663
200	416	1657
