iter	Passed	Remaining
0	90	90877
1	96	47998
2	98	32593
3	99	24798
4	101	20137
5	102	16998
6	104	14763
7	105	13111
8	111	12228
9	113	11216
10	114	10308
11	116	9573
12	117	8920
13	119	8386
14	129	8521
15	132	8118
16	133	7714
17	134	7359
18	138	7130
19	139	6831
20	140	6557
21	141	6309
22	143	6077
23	144	5880
24	145	5691
25	147	5510
26	148	5343
27	149	5189
28	151	5063
29	153	4956
30	154	4834
31	155	4714
32	157	4617
33	159	4518
34	160	4414
35	161	4317
36	162	4228
37	163	4144
38	165	4072
39	168	4046
40	170	3982
41	171	3915
42	173	3864
43	175	3802
44	176	3744
45	178	3693
46	181	3673
47	182	3622
48	184	3571
49	185	3521
50	186	3473
51	187	3426
52	189	3381
53	190	3338
54	191	3294
55	193	3255
56	196	3249
57	197	3211
58	198	3171
59	200	3135
60	201	3100
61	202	3065
62	204	3039
63	207	3036
64	211	3036
65	212	3007
66	214	2988
67	216	2961
68	217	2937
69	218	2908
70	220	2881
71	221	2854
72	222	2826
73	223	2802
74	226	2792
75	228	2773
76	229	2747
77	230	2723
78	231	2703
79	232	2679
80	234	2655
81	235	2632
82	235	2604
83	236	2583
84	238	2562
85	241	2562
86	242	2545
87	243	2524
88	244	2505
89	245	2486
90	247	2467
91	248	2449
92	249	2432
93	250	2415
94	251	2396
95	253	2386
96	255	2374
97	257	2366
98	258	2351
99	259	2335
100	261	2323
101	262	2310
102	263	2295
103	264	2279
104	265	2266
105	267	2252
106	269	2245
107	271	2239
108	272	2227
109	273	2213
110	274	2200
111	276	2188
112	277	2176
113	278	2162
114	279	2150
115	280	2138
116	281	2124
117	282	2111
118	286	2119
119	287	2108
120	289	2100
121	291	2096
122	327	2334
123	329	2326
124	330	2314
125	335	2324
126	336	2310
127	337	2300
128	339	2290
129	340	2280
130	342	2272
131	344	2262
132	345	2252
133	346	2242
134	349	2236
135	350	2226
136	351	2216
137	354	2212
138	355	2202
139	364	2237
140	365	2228
141	366	2215
142	368	2205
143	369	2198
144	371	2188
145	372	2178
146	374	2170
147	375	2161
148	378	2162
149	380	2154
150	381	2145
151	383	2137
152	384	2128
153	385	2119
154	387	2111
155	388	2103
156	390	2095
157	394	2100
158	396	2099
159	400	2100
160	400	2089
161	402	2083
162	404	2075
163	405	2067
164	408	2067
165	410	2060
166	411	2052
167	412	2044
168	414	2036
169	415	2030
170	417	2025
171	421	2028
172	423	2023
173	424	2015
174	425	2006
175	427	1999
176	428	1993
177	430	1986
178	431	1977
179	433	1974
180	438	1984
181	440	1979
182	443	1980
183	445	1973
184	446	1967
185	449	1966
186	453	1971
187	455	1965
188	456	1958
189	457	1951
190	459	1944
191	460	1937
192	461	1930
193	463	1924
194	464	1917
195	469	1926
196	471	1920
197	472	1914
198	473	1907
199	474	1899
200	476	1892
201	477	1885
202	478	1877
203	479	1869
204	480	1861
205	482	1859
206	483	1853
207	484	1846
208	485	1839
209	486	1831
210	488	1825
211	489	1819
212	490	1812
213	491	1806
214	492	1799
215	493	1792
216	495	1789
217	497	1784
218	498	1777
219	499	1771
220	500	1764
221	501	1758
222	503	1753
223	504	1747
224	505	1741
225	506	1735
226	508	1730
227	509	1724
228	511	1722
229	513	1717
230	514	1712
231	515	1706
232	516	1701
233	517	1695
234	519	1690
235	520	1684
236	521	1679
237	523	1674
238	524	1668
239	526	1666
240	528	1663
241	529	1657
242	530	1652
243	531	1648
244	533	1643
245	534	1638
246	535	1633
247	536	1628
248	538	1622
249	539	1617
250	541	1616
251	543	1613
252	544	1608
253	546	1604
254	547	1599
255	549	1598
256	551	1593
257	552	1588
258	553	1584
259	558	1589
260	560	1586
261	561	1582
262	563	1580
263	565	1575
264	566	1570
265	567	1565
266	568	1560
267	569	1555
268	572	1555
269	574	1552
270	575	1547
271	576	1544
272	578	1540
273	579	1535
274	580	1531
275	582	1526
276	583	1522
277	584	1517
278	585	1513
279	589	1516
280	592	1516
281	594	1513
282	595	1509
283	596	1504
284	598	1500
285	599	1496
286	600	1492
287	605	1495
288	606	1491
289	607	1487
290	608	1483
291	610	1479
292	611	1476
293	613	1473
294	614	1469
295	621	1478
296	625	1480
297	627	1478
298	630	1478
299	635	1483
300	637	1479
301	639	1479
302	642	1478
303	644	1474
304	646	1472
305	650	1474
306	651	1470
307	652	1466
308	653	1462
309	655	1459
310	656	1455
311	657	1450
312	658	1446
313	659	1441
314	660	1437
315	661	1432
316	665	1433
317	666	1429
318	668	1426
319	670	1423
320	672	1421
321	673	1418
322	675	1414
323	676	1411
324	679	1411
325	681	1408
326	683	1405
327	684	1402
328	686	1399
329	687	1396
330	688	1392
331	690	1388
332	691	1385
333	695	1387
334	697	1384
335	698	1380
336	700	1378
337	701	1374
338	702	1370
339	703	1366
340	705	1362
341	706	1358
342	707	1354
343	709	1353
344	711	1350
345	712	1346
346	713	1342
347	714	1339
348	716	1335
349	717	1333
350	719	1331
351	721	1327
352	725	1329
353	727	1327
354	731	1328
355	733	1326
356	734	1323
357	736	1319
358	737	1317
359	742	1320
360	745	1318
361	747	1317
362	749	1315
363	751	1313
364	756	1316
365	759	1315
366	760	1312
367	762	1309
368	763	1305
369	765	1302
370	766	1299
371	769	1299
372	771	1296
373	772	1292
374	773	1288
375	774	1285
376	775	1281
377	776	1278
378	777	1274
379	779	1271
380	781	1269
381	783	1268
382	786	1266
383	788	1264
384	789	1261
385	790	1258
386	792	1254
387	793	1251
388	794	1248
389	796	1245
390	797	1242
391	799	1240
392	801	1237
393	802	1233
394	803	1230
395	804	1226
396	805	1223
397	806	1219
398	807	1216
399	808	1212
400	809	1209
401	810	1205
402	811	1202
403	813	1199
404	814	1196
405	815	1193
406	816	1190
407	817	1186
408	819	1183
409	820	1181
410	822	1178
411	823	1174
412	824	1171
413	825	1167
414	826	1164
415	827	1161
416	830	1161
417	832	1158
418	833	1155
419	833	1151
420	834	1148
421	836	1145
422	837	1141
423	838	1138
424	839	1135
425	840	1131
426	841	1128
427	842	1125
428	844	1123
429	846	1121
430	847	1118
431	848	1116
432	850	1113
433	851	1110
434	852	1107
435	853	1104
436	855	1102
437	856	1099
438	859	1098
439	861	1095
440	862	1092
441	863	1089
442	864	1086
443	865	1083
444	866	1080
445	867	1077
446	868	1074
447	869	1071
448	870	1068
449	871	1065
450	872	1062
451	875	1061
452	876	1058
453	877	1055
454	878	1052
455	879	1049
456	880	1046
457	881	1043
458	882	1040
459	883	1037
460	884	1034
461	885	1031
462	886	1028
463	889	1027
464	890	1024
465	891	1022
466	893	1019
467	894	1016
468	895	1013
469	896	1010
470	897	1008
